Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Tonietti, Tino M.",2006,"Chi fa la, l'aspetti: Gli Elementi di Euclide esportati dai gesuiti nella Cina dei Ming",L'Ulisse,3,,1–10,,November,1973-2740,,,http://ulisse.sissa.it/biblioteca/saggio/2006/Ubib061124s001,,16th century|17th century,Foreign Missions -- Sciences -- Mathematics|Foreign Missions -- Evangelization -- Strategies|Foreign Missions -- Theology|Foreign Missions -- History of Books,Asia -- China,,"La diffusione degli Elementi di Euclide nella Cina Ming ebbe un ruolo sia nell’evangelizzazione che nella formazione di una cultura scientifica. Per quanto riguarda la geometria, i gesuiti si scontrarono con la visione estremamente pittorica della geometria cinese. E a partire da questo scontro emersero|differenze nel fare scienza in seno alle due culture, quella europea e quella cinese.",,,,,Italian,REVIEW
Journal Article,"Tomassini, Antonia",2006,Manuel de Nobrega (1517–1570) e l'adattamento e l'adattamento gesuita: Un missionario in Brasile nella seconda metà del Cinquecento,Archivio italiano per la Storia della Pietà,19,,187–233,,,9788884983442,,,,,16th century,Foreign Missions -- Accommodation|Foreign Missions -- Biography,South America -- Brazil,"Nóbrega, Manuel da, 1517–1570",,,,,,Italian,REVIEW
Journal Article,"Tomasset, Alain",2006,Sprawiedliwośći dobroczynność wg św. Alberto Hurtado SJ (I),Przegląd powszechny,7–8,1019–1020,42–50,,July/August,0209-1127,,,http://katalog.czasopism.pl/index.php/Przegl%C4%85d_Powszechny_7-8/2006,,20th century,Saints and Blessed|Foreign Missions -- Biography|Foreign Missions -- Social Work,South America -- Chile -- Santiago|North America -- USA,"Hurtado Cruchaga, Alberto, Saint, 1901–1952","Benedykt XVI kanonizował Alberto Hurtado SJ 23 października 2005. Nowy Świety był niezmordowanym apostolem sprawiedliwości społecznej, rekolekcjonista, kierownikiem duchowym, wychowawcą młodzieży. Jego życie i dzieła świadczą o głebokiej mistyce działania, jednoczącej miłość Boga i bliżnego wokól stałej troski o sprawiedliwość społeczną i godność ubogich.;Benoit XVI a canonise Alberto Hurtado SJ le octobre 2005. Le nouveau saint fut l'apotre infatigable de la justice sociale, le directeur de conscience, educateur de la neunesse et donna les Exercices spirituels. Sa vie et ses oeuvres temoignent de la mystique profonde de l'action qui unifiait l'amour de Dieu et des prochains autour de la preoccupation permanente de la justice sociale et de la dignite des pauvres.","French title of article: ""Justice et misericorde selon St Alberto Hurtado SJ (I).""",,,,Polish,REVIEW
Journal Article,"Tomasset, Alain",2006,Sprawiedliwośći dobroczynność wg św. Alberto Hurtado SJ (dokończenie),Przegląd powszechny,9,1021,52–62,,September,0209-1127,,,http://katalog.czasopism.pl/index.php/Przegl%C4%85d_Powszechny_9/2006,,20th century,Saints and Blessed|Foreign Missions -- Biography|Foreign Missions -- Social Work,Europe -- Belgium -- Louvain|South America -- Chile -- Santiago,"Hurtado Cruchaga, Alberto, Saint, 1901–1952","Życie intelektualne, społeczne i apostolskie Alberto Hurtado SJ nie tylko pokazuje jego godną pochwały wielkoduszność w służbie ubogim, ale także zaprasza nas do refleksji teologicznej i duchowej. Rzadko bowiem spotyka si kogoś, kto w swym życiu tak jednoczył elementy postrzegane czsto jako przeciwstawne.;Le vie intellectuelle, sociale et apostolique de Albarto Hurtado SJ montre non seulement sa magnanimite digne de louange envers les pauvres mais aussi invite a la reflexion theologique et spirituelle. Car on trouve rarement quelq'un qui unit, dans sa vie, les elements conisderes souvent comme opposes.","French title of article: ""Justice et misericorde selon St Alberto Hurtado SJ (fin)""",,,,Polish,REVIEW
Journal Article,"Tilg, Stefan",2006,Der Ludus de instauratione studiorum von Jakob Pontanus: Eine Edition,Wolfenbütteler Notizen zur Buchgeschichte,8,,267–292,,,1438-213X,,,,,16th century|17th century,Education -- Educational Thought|Education -- Colleges -- Arts -- Theater -- Drama,,"Pontanus, Jacob, 1542–1626",,Edition with introduction of the text.,,,,German,REVIEW
Journal Article,"Terneus, A.|Gioda, A.",2006,In Search of Colonial El Niño Events and a Brief History of Meteorology in Ecuador,European Geosciences Union,6,,181–187,,,1680-7359,,,http://www.adv-geosci.net/6/181/2006/adgeo-6-181-2006.pdf,,,Foreign Missions -- Sciences -- Meteorology|Foreign Missions -- History -- Natural History -- Regional,South America -- Ecuador -- Quito,,"This study shows a brief overview of the development of meteorology in Ecuador from historical documentation of climatic events in the Colonial era through to modern data collection. In the colonial era (16th century–1824), historical documents of rogation ceremonies and municipal proceedings, from the Quito area, provide a rich source of climate information, including El Niño events. Our preliminary findings show that very few of the historically documented catastrophes and other marked environmental events in Quito match known El Niño episodes. Independently, the first meteorological data was collected in Ecuador (beginning with La Condamine in 1738), followed by the earliest attempts to build a national meteorological network in the 1860's, linked closely to President Gabriel García Moreno and the Jesuits. The 1925 El Niño phenomenon was the first important meteorological episode recorded with scientific instrumentation in Ecuador, with newspapers providing complementary archives about the extreme impact of this event.",,,,,English,KEEP
Journal Article,"Tampe Maldonado, Eduardo",2006,"Domingo Lázaro de las Casas, S.J. (1609–1661)",Anuario de historia de la iglesia en Chile,24,,7–10,,,0716-1662,,,http://drevistas.ucv.cl/detalles_numero.php?tituloID=57&numeroID=3829,,17th century,Foreign Missions |Biography,South America -- Chile,,,,,,,Spanish,REVIEW
Journal Article,"Tambwe, Richard",2006,For More Living the Eucharist: A Reading of Pierre Teilhard de Chardin’s Mass on the World,Hekima Review,,36,35–50,,,1019-6188|2410-0234,,,http://library.hekima.ac.ke/journals/hekimareview/article/view/500,,20th century,Theology -- Cosmology|Theology -- Sacraments -- Eucharist|Theology -- Christian Life,,"Teilhard de Chardin, Pierre, 1881–1955","Dans cet article, l'auteur analyse l'ouvrage de Pierre Teilhard de Chardin intitulé «The Mass on the World». Dans la première section de l'article, l'auteur indique les circonstances qui ont servi de toile de fond à l'élaboration de cet ouvrage ainsi que sa place dans les autres oeuvres de Teilhard. Il explique les différentes subdivisions de cet ouvrage et en fait une analyse critique. Dans la deuxième section, l'auteur présente les trois étapes de l'Incarnation relatées dans l'ouvrage à savoir le mouvement descendant, la consolidation horizontale et l'aspiration ascendante. Vers la fin de l'article, l'auteur montre les implications de cet ouvrage dans la célébration de l'Eucharistie.",,,,,English,REVIEW
Journal Article,"Tam, H. Dan",2006,A visão da China de Francisco Xavier,Brotéria: Cristianismo e cultura,163,43226,619–640,,November/December,0870-7618,,,http://www.broteria.pt/?detail=1&books_id=313,,16th century,Saints and Blessed|Foreign Missions -- Biography|Foreign Missions -- Primary Sources -- Letters,Asia -- China,"Francis Xavier, Saint, 1506–1552","Análise do papel motivador que a Visão da China, construída progressivamente por observações e conversas, teve no redireccionamento do zelo missionário de Xavier, depois da primeira experiência frustrante na Índia, levando-o ao Japão e, reforçada pelas suas vicissitudes aí, tomando-se cada vez mais uma paixão na qual esgotou a sua vida. Esta paixão perduraria nas gerações de jesuítas que o seguiram e começaria a florescer na acção inovadora de Ricci em Pequim.",,,,,Portuguese,REVIEW
Journal Article,"Szpyrka, Paweł",2006,Doświadczenie drogi u św. Ignacego Loyoli / L'experience du chemin chez St Ignace de Loyola,Przegląd powszechny,4,1016,101–114,,April,0209-1127,,,http://katalog.czasopism.pl/index.php/Przegl%C4%85d_Powszechny_4/2006,,16th century,Ignatius of Loyola -- Biography -- Pilgrimage|Ignatius of Loyola -- Spirituality,Europe -- Spain -- Alcalá de Henares|Europe -- Poland|Asia -- Israel -- Jerusalem,"Ignatius, of Loyola, Saint, c.1491–1556","Doświadczenie drogi jest elementem, który w bardzo różnorodnych biografiach św. Ignacego organizuje życie tego świetego. Nie dotyczy ono jedynie mniej czy bardziej wewnetrznych perypetii, ale takze prawdziwiej duchowej przemiany. Moze byc wzorem dla wspolczesnego czlowieka, ktoremu nie jest obcy los tułacza oraz poczucie wyobcowania.|L'experience du chemin est un element qui organise, dans les differentes biographies de st Ignace, sa vie. Il ne lui echappe que les peripeties interieures plus ou moins grandes et la metamorphose spirituelle vraie. Le chemin peut servir aussi a l'homme moderne auquel ne manque pas la sensation d'etre vagabond et aliene.",,,,,Polish,REVIEW
Journal Article,"Szentmártoni Szabó, Géza",2006,Faludi Ferenc forrásünnepe: Avagy a tarcsai savanyúvíz nimfája,Vasi Szemle,60,2,4–20,,,0505-0332,,,http://www.vasiszemle.hu//2006/02/szentmartoni.htm,,18th century,Literature -- Poetry|Biography,Europe -- Hungary,"Faludi, Ferenc, 1704–1779",,,,,,Hungarian,REVIEW
Journal Article,"Szejner, Bohdan Jan",2006,A Painless Christianity: A Response to Hans Urs von Balthasar's Criticism of Saint John of the Cross in The Glory of the Lord,Studies in Spirituality,16,,215–243,,,0926-6453,10.2143/SIS.16.0.2017800,,http://poj.peeters-leuven.be/content.php?url=article&id=2017800&journal_code=SIS,,20th century,Theology -- Systematic|Theology -- Spirituality -- Contemplation,,"von Balthasar, Hans Urs, 1905–1988","For John of the Cross, contemplation of God is a painful self-emptying and self-negation necessary for the Christian moral growth and for the apostolic love to flourish. The crosses of self-denial teach us to shun evil and to love God, as demanded in Proverbs 8:13: [HEBREW]. God’s will must increase in us; and ours must decrease. We must possess less; and He must possess more. That is why, like Elisha, ""we burn our plows and slaughter our oxen"" (1 Kings 19:21), stepping into the darkness and fear where the voice of Our Lord resounds, ""Come, follow Me"" (Lk 9:23). Christ Himself blazed this trail for us, being wholly subject in His will to the Father, detached from things, and suffering the Cross. It is a necessary path and process – a way to ""that holiness without which no one will see the Lord"" (Heb 12:14). Von Balthasar, however, questions the apostolicity of John, and raises the possibility of ""a Christianity to different rhythms, without such contemplation [...] if we only let God."" The purpose of this paper is to dispel such notions, and to show that the contemplation as envisioned by John must never be renounced, for it is a vital element for the attainment of that perfection of holiness without which no Christian can be an authentic apostle of charity for the world.",,,,,English,REVIEW
Journal Article,"Szabo, Agneza",2006,Isusovci i Zagreb (1606–2006),Obnovljeni život,61,4,393–394,,December,0351-3947,,,http://hrcak.srce.hr/index.php?show=clanak&id_clanak_jezik=8991,,17th century|18th century|19th century|20th century|21st century,History -- Local,Europe -- Croatia -- Zagreb,,,,,,,Croatian,REVIEW
Journal Article,"Sweet, Michael J.",2006,Desperately Seeking Capuchins: Manoel Freyre’s Report on the Tibets and Their Routes (Tibetorum ac eorum Relatio viarum) and the Desideri Mission to Tibet,The Journal of the International Association of Tibetan Studies,2,2,1–33,,August,1550-6363,,,http://www.thlib.org/collections/texts/jiats/#!jiats=/02/sweet/,,18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Travel|Foreign Missions -- Biography,Asia -- China -- Tibet,"Freyre, Manoel, b.1679|Desideri, Ippolito, 1684–1733",,,,,,English,REVIEW
Journal Article,"Suzuki, Nobuaki",2006,On Matteo Ricci’s the ‘Yangwihyeonrando’ Introduced to Korea,Chosen Gakuho: Journal of the Academic Association of Koreanology in Japan,,201,1–30,,,0577-9766,,,,,16th century|17th century,Foreign Missions -- Biography|Foreign Missions -- History -- Regional,Asia -- China,"Ricci, Matteo, 1552–1610",,,,,,Japanese,REVIEW
Journal Article,"Sutton, Agnetta",2006,"The Complementarity and Symbolism of the Two Sexes: Karl Barth, Hans Urs von Balthasar and John Paul II",New Blackfriars,87,1010,418–433,,July,1741-2005,10.1111/j.0028-4289.2006.00158.x,,http://onlinelibrary.wiley.com/doi/10.1111/j.0028-4289.2006.00158.x/abstract,,20th century,Theology -- Gender|Theology -- Hermeneutics -- Symbols,Europe,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,REVIEW
Journal Article,"Stringer, Jeremy|Swezey, Erin",2006,The Purpose of a Students Affairs Program Within Jesuit Higher Education,Journal of Catholic Education,10,2,181–198,,December,,,,http://digitalcommons.lmu.edu/cgi/viewcontent.cgi?article=1398&context=ce,,20th century,Education -- Higher Education -- Students -- Services |Education -- Higher Education -- Identity,North America -- USA,,This article addresses the congruence of a student affairs professional preparation program within Jesuit higher education. It connects the mission of Jesuit education and Jesuit religious and educational principles to the philosophy of student affairs work in colleges and universities. A program in student development administration at Seattle University is presented as an example of how a student affairs preparation program honors Jesuit principles.,,,,,English,KEEP
Journal Article,"Strasser, Gerhard F.",2006,Sic transit gloria mundi: Die Rezeption von Athanasius Kirchers Werken durch das Leserpublikum der Herzog August Bibliothek von 1664 bis etwa 1800,Wolfenbütteler Notizen zur Buchgeschichte,36,1,79–86,,,,,http://worldcat.org/oclc/888086540,,,17th century,Literature -- History|History of Books|Archives and Libraries -- Patrimony|History -- Local,,"Kircher, Athanasius, 1602–1680",,,,,,German,REVIEW
